job_title,location,company,salary,summary
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an..."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Caprico Biotechnologies, Inc. (CBI), an Atlanta-based start-up biotech company, is focused on the development and..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,Contributes executing on a daily basis global research project activities within the screening unit and presents data to...
Bioinformatician,"Atlanta, GA 30346","IHRC, Inc.",Nothing_found,Work with scientists in the laboratory to address public health related scientific questions and develop new systems to...
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,"$85,000 - $126,000 a year (Indeed est.)",Theoretical and practical understanding of data mining and machine learning techniques such as:....
"Sr. Associate, Data Scientist","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &..."
Data Scientist,"Atlanta, GA 30326 (Buckhead area)","Carters, Inc","$85,000 - $126,000 a year (Indeed est.)",Use available data sources to deep dive and troubleshoot KPI metrics. The Company's Just One You and Genuine Kids brands...
Data Scientist/Machine Learning Trainee,"Atlanta, GA 30309 (Midtown area)",Norfolk Southern Corp,"$105,000 - $154,000 a year (Indeed est.)","As a Data Scientist/Machine Learning Trainee, you will be working with a team of Data Science professionals who apply..."
Data Scientist,"Alpharetta, GA",UNITED PARCEL SERVICE,Nothing_found,"Collaborates with cross-functional teams of data scientists, data engineers, application developers, etc. to deliver..."
Data Scientist,"Alpharetta, GA 30005",ADP,Nothing_found,"ADP is hiring a Data Scientist - Senior Machine Learning Engineer with demonstrated experience in Python, Hive,..."
"Data Scientist, Keying and Linking","Alpharetta, GA 30005",Equifax,"$96,000 - $142,000 a year (Indeed est.)",Data and Analytics. Function - Data and Analytics. Uses data mining tools and programming languages to prepare data for...
Data Science - Predictive & Prescriptive Analytics,"Alpharetta, GA 30022",Verizon,"$107,000 - $158,000 a year (Indeed est.)",Be a subject matter expert on machine learning and predictive modeling and a mentor to junior data scientists....
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,What you’ll be doing... This position will drive profitable growth and business innovation by applying cutting edge...
Data Science Consulant,"Atlanta, GA 30303 (Five Points area)",Accenture,"$108,000 - $160,000 a year (Indeed est.)","Effectively utilize statistical, data mining, machine learning, and/or deep learning techniques in delivering data..."
Data Science Masters Intern,"Atlanta, GA 30308 (Old Fourth Ward area)",Honeywell,Nothing_found,We value our more seasoned data scientists because they bring additional value to our company by using their years of...
Data Scientist,"Atlanta, GA",Grid Dynamics,"$104,000 - $154,000 a year (Indeed est.)","We are looking for an enthusiastic and technology-proficient Data Scientist who is eager to work on innovative Big Data,..."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.)...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.)...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Caprico Biotechnologies, Inc. (CBI), an Atlanta-based start-up biotech company, is focused on the development and..."
